split,threat_type,event_text
train,phishing,Urgent action required: verify your account and click the login portal 10.10.10.44 [evt=781453 device=SRV-AD-01]
train,phishing,"Dear customer, unusual sign-in activity. Your account has been limited. Click here to verify your account"
train,phishing,Password expired. Reset credentials via the bank account login page now [ts=2026-04-15T14:24Z evt=383060]
train,phishing,"Action Required: Mandatory 2026 Employee Health Benefits Election. Hello Team, re-enroll to avoid a lapse in medical coverage. Deadline Friday 5:00 PM EST [user=hr evt=329974]"
train,phishing,DHL parcel held. Kindly update billing payment at http://paypa1-login.com/login
train,phishing,Shared a document with you. Failure to verify within 36 hours will suspend the bank account
train,phishing,Credential harvest attempt via fake invoice scam and shortened bit.ly link [device=LAB-PC-38 evt=680828]
train,phishing,Laptop mail from security@paypa1-login.com. Subject: Urgent action required: verify your account
train,phishing,Spearphish: finance received a fake OWA login portal for LAB-PC-34 from 10.87.54.116
train,phishing,Mailbox lure: kindly verify payroll on http://paypa1-login.com/login or the bank account is locked
train,phishing,HR spoof: principal must click here to re-enroll benefits before coverage will lapse
train,phishing,"Delivery phishing: UPS parcel held, update billing payment or the shipment is cancelled [sensor=edr source=Email]"
train,phishing,"Password reset lure emailed to finance: unusual sign-in, confirm your identity now [proto=TCP evt=423232]"
train,phishing,Fake invoice scam PDF virus.exe plus a shortened t.co link harvesting credentials [proto=RDP device=WS-FINANCE-12]
train,phishing,Gmail lure: registrar clicked verify your account on a fake login portal from 10.87.54.31 [user=librarian device=LAB-PC-86]
train,phishing,Kindly update billing payment for a held FedEx parcel or the bank account is limited [source=Sysmon sensor=proxy]
train,phishing,Countdown phishing: you have 46 hours to confirm your identity or coverage will lapse
train,phishing,Shared a document with you plus bit.ly credential harvest for warden on LAPTOP-HR04
train,phishing,"Mailbox Guard: unusual sign-in activity, password expired, reset via login page [sensor=edr source=Remote Agent]"
train,phishing,Urgent action required: verify your account and click the login portal 192.168.0.55 [sensor=sysmon source=Proxy]
train,phishing,"Dear customer, unusual sign-in activity. Your account has been limited. Click here to verify your account [sensor=sysmon source=Endpoint]"
train,phishing,Password expired. Reset credentials via the bank account login page now [device=LAPTOP-HOD-CSE evt=833442]
train,phishing,"Action Required: Mandatory 2026 Employee Health Benefits Election. Hello Team, re-enroll to avoid a lapse in medical coverage. Deadline Friday 5:00 PM EST [sensor=ids confidence=critical]"
train,phishing,DHL parcel held. Kindly update billing payment at http://paypa1-login.com/login [source=SIEM evt=992288]
train,phishing,Shared a document with you. Failure to verify within 34 hours will suspend the bank account [source=Proxy evt=825391]
train,phishing,Credential harvest attempt via fake invoice scam and shortened bit.ly link
train,phishing,Laptop mail from security@paypa1-login.com. Subject: Urgent action required: verify your account [device=LAB-PC-18 proto=RDP]
train,phishing,Spearphish: warden received a fake OWA login portal for SRV-AD-01 from 10.10.10.44 [confidence=critical evt=264686]
train,phishing,Mailbox lure: kindly verify payroll on http://paypa1-login.com/login or the bank account is locked [proto=TCP source=Sysmon]
train,phishing,HR spoof: labtech must click here to re-enroll benefits before coverage will lapse [device=DESKTOP-988C9GL user=demo]
train,phishing,"Delivery phishing: UPS parcel held, update billing payment or the shipment is cancelled [user=warden confidence=critical]"
train,phishing,"Password reset lure emailed to admin: unusual sign-in, confirm your identity now [device=WS-ACCOUNTS-04 sensor=usb]"
train,phishing,Fake invoice scam PDF exam-results.xlsm plus a shortened t.co link harvesting credentials [source=SIEM confidence=medium]
train,phishing,Gmail lure: hr clicked verify your account on a fake login portal from 192.168.43.12 [user=warden device=DESKTOP-SBJAOKO]
train,phishing,Kindly update billing payment for a held FedEx parcel or the bank account is limited [user=warden sensor=sysmon]
train,phishing,Countdown phishing: you have 30 hours to confirm your identity or coverage will lapse
train,phishing,Shared a document with you plus bit.ly credential harvest for demo on WS-ACCOUNTS-04 [proto=RDP user=librarian]
train,phishing,"Mailbox Guard: unusual sign-in activity, password expired, reset via login page [user=librarian sensor=mail]"
train,phishing,Urgent action required: verify your account and click the login portal 10.87.54.31 [proto=TCP device=NURSE-STATION-2]
train,phishing,"Dear customer, unusual sign-in activity. Your account has been limited. Click here to verify your account [ts=2026-07-13T04:02Z evt=139019]"
train,phishing,Password expired. Reset credentials via the bank account login page now [sensor=sysmon evt=776149]
train,phishing,"Action Required: Mandatory 2026 Employee Health Benefits Election. Hello Team, re-enroll to avoid a lapse in medical coverage. Deadline Friday 5:00 PM EST [device=LAB-PC-07 confidence=critical]"
train,phishing,DHL parcel held. Kindly update billing payment at http://paypa1-login.com/login [ts=2026-04-11T23:50Z confidence=medium]
train,phishing,Shared a document with you. Failure to verify within 11 hours will suspend the bank account [source=Laptop Mail Guard confidence=medium]
train,phishing,Credential harvest attempt via fake invoice scam and shortened bit.ly link [sensor=firewall device=VM-PROJECT-03]
train,phishing,Laptop mail from security@paypa1-login.com. Subject: Urgent action required: verify your account [device=SRV-AD-01 proto=RDP]
train,phishing,Spearphish: admin received a fake OWA login portal for DESKTOP-988C9GL from 10.87.54.137 [source=Proxy confidence=critical]
train,phishing,Mailbox lure: kindly verify payroll on http://paypa1-login.com/login or the bank account is locked [source=Network IDS sensor=usb]
train,phishing,HR spoof: demo must click here to re-enroll benefits before coverage will lapse [ts=2026-08-21T02:27Z source=Email]
train,phishing,"Delivery phishing: UPS parcel held, update billing payment or the shipment is cancelled [source=Windows Event Log ts=2026-05-16T05:38Z]"
